zaman,Tuketim Miktari(MWh),Toplam,Gunes,Ruzgar,Dogal Gaz,Linyit,Jeotermal,Barajli,Akarsu,Biyokutle,Temiz_Enerji,Fosil_Enerji,Yesil_Oran,Karbon_gCO2_kWh
2025-11-01 00:00:00,34576.55,34560.45,1.12,290.46,12475.93,4222.37,1317.86,3406.95,1229.83,971.94,291.58,16698.3,0.8436811441980645,265.73916138244726
2025-11-01 01:00:00,32837.73,32822.7,1.13,301.43,11824.57,4184.72,1326.43,2473.0,1082.51,976.53,302.56,16009.29,0.9218010706005296,268.262802877277
2025-11-01 02:00:00,31664.11,31646.58,1.12,365.98,11457.96,4176.44,1336.05,1724.61,1041.56,982.95,367.1,15634.399999999998,1.1599989635530918,271.71719661334646
2025-11-01 03:00:00,30689.23,30671.22,1.12,402.34,10905.21,4107.44,1338.34,1371.83,937.19,983.24,403.46,15012.649999999998,1.3154351212635167,269.20864249938535
2025-11-01 04:00:00,30329.71,30311.15,1.12,449.92,10610.9,4053.49,1339.95,1418.28,838.24,996.58,451.04,14664.39,1.4880332814822268,266.0873803864254
2025-11-01 05:00:00,30610.35,30574.47,1.34,542.44,10563.12,4035.7,1341.21,1664.26,835.74,993.2,543.7800000000001,14598.82,1.7785426861037987,262.6161957999599
2025-11-01 06:00:00,31117.65,30980.14,14.49,624.93,10683.68,4062.97,1340.62,1876.35,895.4,994.6,639.42,14746.65,2.063967432038719,261.80183498202393
2025-11-01 07:00:00,31694.54,30621.98,312.02,630.79,9946.56,4082.3,1337.91,1802.82,994.35,979.09,942.81,14028.86,3.0788668792808305,251.9717209664431
2025-11-01 08:00:00,34753.53,30590.28,1170.97,617.26,9226.45,4119.64,1328.42,1347.69,1164.4,986.74,1788.23,13346.09,5.845745772840262,239.9569242256037
2025-11-01 09:00:00,37008.1,29059.25,1995.34,574.69,7337.09,4120.59,1309.09,1106.61,1006.69,979.43,2570.0299999999997,11457.68,8.84410299646412,216.8577647392827
2025-11-01 10:00:00,38149.35,27317.44,2272.7,468.91,5371.4,4168.56,1277.67,1160.27,913.86,988.28,2741.6099999999997,9539.96,10.03611612215493,192.07429393091004
2025-11-01 11:00:00,38718.38,26346.36,2686.17,386.79,4197.92,4182.65,1249.03,1012.4,790.96,980.59,3072.96,8380.57,11.663698514709433,174.95067629835773
2025-11-01 12:00:00,37635.16,24919.25,2846.93,414.02,3970.75,4129.46,1226.13,901.22,649.71,979.36,3260.95,8100.21,13.086067999638834,178.78208613822648
2025-11-01 13:00:00,37926.65,25698.83,2834.31,477.01,4102.91,4217.56,1203.87,996.78,678.92,989.65,3311.3199999999997,8320.470000000001,12.885100216624645,178.07263988282736
2025-11-01 14:00:00,38125.26,27966.99,2641.4,651.47,4968.92,4269.96,1186.52,1578.9,769.2,964.42,3292.87,9238.880000000001,11.774130859273736,181.69220212829484
2025-11-01 15:00:00,37936.56,30863.51,2162.29,757.13,7087.39,4280.67,1173.06,2279.37,940.87,976.41,2919.42,11368.060000000001,9.459131511613554,202.58334194652525
2025-11-01 16:00:00,38080.05,34853.11,999.12,952.2,10490.03,4294.23,1179.58,4189.12,1190.16,970.97,1951.3200000000002,14784.26,5.598696931206426,233.30322602487985
2025-11-01 17:00:00,39535.71,38990.53,104.58,1294.83,11449.68,4300.46,1202.28,7777.48,1421.15,972.9,1399.4099999999999,15750.14,3.5891022768862078,222.17130672499192
