tarih_saat,sicaklik,ruzgar,bulut,yagis_olas
2026-05-03 00:00:00,9.3,5.3,99,60
2026-05-03 01:00:00,9.3,5.2,98,88
2026-05-03 02:00:00,9.2,6.1,94,78
2026-05-03 03:00:00,9.0,5.0,93,60
2026-05-03 04:00:00,9.0,7.4,98,83
2026-05-03 05:00:00,9.0,6.8,98,55
2026-05-03 06:00:00,9.0,6.4,100,20
2026-05-03 07:00:00,9.1,7.1,100,15
2026-05-03 08:00:00,9.4,7.5,100,18
2026-05-03 09:00:00,10.3,9.3,94,20
2026-05-03 10:00:00,11.2,14.4,93,15
2026-05-03 11:00:00,11.6,17.4,100,13
2026-05-03 12:00:00,12.0,16.6,100,5
2026-05-03 13:00:00,12.4,20.9,99,3
2026-05-03 14:00:00,12.6,22.0,97,13
2026-05-03 15:00:00,12.2,22.3,100,23
2026-05-03 16:00:00,11.5,21.4,100,38
2026-05-03 17:00:00,11.0,20.9,100,65
2026-05-03 18:00:00,10.8,20.4,100,88
2026-05-03 19:00:00,10.6,19.2,100,88
2026-05-03 20:00:00,10.4,18.6,100,80
2026-05-03 21:00:00,10.5,18.1,100,88
2026-05-03 22:00:00,10.3,15.1,100,93
2026-05-03 23:00:00,10.1,15.1,100,95
2026-05-04 00:00:00,10.0,16.0,100,100
2026-05-04 01:00:00,9.8,17.0,100,98
2026-05-04 02:00:00,9.7,16.7,100,98
2026-05-04 03:00:00,9.5,15.2,100,100
2026-05-04 04:00:00,9.2,13.3,100,100
2026-05-04 05:00:00,8.9,11.8,100,100
2026-05-04 06:00:00,8.5,7.3,100,98
2026-05-04 07:00:00,8.4,9.4,100,100
2026-05-04 08:00:00,8.5,10.0,100,98
2026-05-04 09:00:00,8.8,6.5,100,98
2026-05-04 10:00:00,9.3,10.5,100,98
2026-05-04 11:00:00,9.6,14.5,100,98
2026-05-04 12:00:00,9.8,18.4,98,98
2026-05-04 13:00:00,10.0,15.9,98,98
2026-05-04 14:00:00,10.1,17.6,100,95
2026-05-04 15:00:00,10.0,18.0,100,93
2026-05-04 16:00:00,10.0,16.9,100,93
2026-05-04 17:00:00,9.7,17.9,100,93
2026-05-04 18:00:00,9.7,16.9,100,93
2026-05-04 19:00:00,9.6,18.8,100,95
2026-05-04 20:00:00,9.5,19.0,98,90
2026-05-04 21:00:00,9.5,15.9,90,88
2026-05-04 22:00:00,9.0,13.0,93,88
2026-05-04 23:00:00,9.0,9.7,96,88
2026-05-05 00:00:00,9.3,8.2,93,80
2026-05-05 01:00:00,9.5,8.4,97,80
2026-05-05 02:00:00,9.6,7.4,99,75
2026-05-05 03:00:00,9.5,6.6,100,70
2026-05-05 04:00:00,9.7,6.4,100,75
2026-05-05 05:00:00,9.7,4.7,100,83
2026-05-05 06:00:00,9.8,4.0,100,88
2026-05-05 07:00:00,9.8,3.1,100,86
2026-05-05 08:00:00,9.9,2.5,100,81
2026-05-05 09:00:00,10.7,4.0,96,73
2026-05-05 10:00:00,11.8,5.2,96,60
2026-05-05 11:00:00,12.3,6.6,95,45
2026-05-05 12:00:00,13.3,8.5,93,33
2026-05-05 13:00:00,14.3,10.1,97,29
2026-05-05 14:00:00,14.6,9.4,96,29
2026-05-05 15:00:00,14.9,11.3,94,28
2026-05-05 16:00:00,15.2,11.3,98,22
2026-05-05 17:00:00,15.1,12.3,94,15
2026-05-05 18:00:00,14.4,11.2,86,10
2026-05-05 19:00:00,13.8,7.4,81,8
2026-05-05 20:00:00,13.1,2.5,80,9
2026-05-05 21:00:00,12.5,0.4,75,8
2026-05-05 22:00:00,11.8,1.1,97,5
2026-05-05 23:00:00,10.9,1.8,57,2
